time,cyklisté,chodci
Brněnské Ivanovice A,,Holásky,Olympia
2020-05-29 17:00,13456,5579,12674,6658
2020-05-29 18:00,13481,5581,12691,6660
2020-05-29 19:00,13503,5583,12708,6663
2020-05-29 20:00,13523,5586,12727,6664
2020-05-29 21:00,13545,5587,12733,6664
2020-05-29 22:00,13552,5587,12735,6664
2020-05-29 23:00,13555,5587,12737,6664
2020-05-30 00:00,13556,5587,12737,6664
2020-05-30 01:00,13556,5587,12737,6664
2020-05-30 02:00,13556,5587,12737,6664
2020-05-30 03:00,13556,5587,12737,6664
2020-05-30 04:00,13556,5587,12737,6664
2020-05-30 05:00,13556,5587,12737,6666
2020-05-30 06:00,13556,5587,12737,6666
2020-05-30 07:00,13558,5587,12737,6666
2020-05-30 08:00,13559,5587,12738,6666
2020-05-30 09:00,13562,5587,12743,6666
2020-05-30 10:00,13567,5587,12750,6668
2020-05-30 11:00,13578,5589,12762,6671
2020-05-30 12:00,13594,5591,12785,6679
2020-05-30 13:00,13610,5592,12807,6685
2020-05-30 14:00,13637,5595,12821,6690
2020-05-30 15:00,13651,5596,12840,6692
2020-05-30 16:00,13674,5599,12871,6694
2020-05-30 17:00,13705,5610,12895,6698
2020-05-30 18:00,13761,5613,12937,6704
2020-05-30 19:00,13805,5619,12956,6705
2020-05-30 20:00,13819,5623,12958,6709
2020-05-30 21:00,13843,5623,12962,6711
2020-05-30 22:00,13850,5625,12967,6713
2020-05-30 23:00,13855,5626,12967,6713
2020-05-31 00:00,13855,5626,12967,6713
2020-05-31 01:00,13855,5626,12967,6713
2020-05-31 02:00,13855,5626,12967,6713
2020-05-31 03:00,13855,5627,12967,6713
2020-05-31 05:00,13855,5627,12967,6713
2020-05-31 06:00,13855,5627,12967,6713
2020-05-31 07:00,13855,5627,12967,6713
2020-05-31 08:00,13855,5627,12967,6713
2020-05-31 09:00,13855,5628,12968,6713
2020-05-31 10:00,13856,5628,12969,6713
2020-05-31 11:00,13856,5629,12970,6714
2020-05-31 12:00,13856,5630,12970,6714
2020-05-31 13:00,13858,5630,12970,6715
2020-05-31 14:00,13858,5630,12974,6716
2020-05-31 15:00,13860,5630,12975,6717
2020-05-31 16:00,13862,5630,12978,6718
2020-05-31 17:00,13868,5631,12982,6719
2020-05-31 18:00,13876,5634,12986,6721
2020-05-31 19:00,13886,5635,12988,6723
2020-05-31 20:00,13895,5637,12998,6725
2020-05-31 21:00,13901,5637,13001,6727
2020-05-31 22:00,13902,5637,13001,6727
2020-05-31 23:00,13902,5638,13001,6727
2020-06-01 00:00,13902,5638,13001,6727
2020-06-01 01:00,13902,5638,13001,6727
2020-06-01 02:00,13902,5638,13001,6727
2020-06-01 03:00,13902,5638,13001,6727
2020-06-01 04:00,13902,5638,13001,6727
2020-06-01 05:00,13902,5638,13001,6727
2020-06-01 06:00,13903,5638,13001,6727
2020-06-01 07:00,13905,5638,13005,6727
2020-06-01 08:00,13912,5639,13015,6727
2020-06-01 09:00,13920,5639,13026,6727
2020-06-01 10:00,13925,5639,13030,6727
2020-06-01 11:00,13927,5640,13032,6729
2020-06-01 12:00,13937,5641,13042,6732
2020-06-01 13:00,13942,5641,13045,6733
2020-06-01 14:00,13945,5641,13054,6735
2020-06-01 15:00,13953,5644,13066,6738
2020-06-01 16:00,13968,5648,13081,6741
2020-06-01 17:00,13993,5651,13100,6746
2020-06-01 18:00,14010,5654,13127,6749
2020-06-01 19:00,14058,5655,13162,6751
2020-06-01 20:00,14110,5658,13192,6755
2020-06-01 21:00,14131,5661,13207,6757
2020-06-01 22:00,14149,5665,13217,6757
2020-06-01 23:00,14155,5667,13222,6759
2020-06-02 00:00,14157,5667,13222,6759
2020-06-02 01:00,14157,5667,13222,6759
2020-06-02 02:00,14157,5667,13222,6759
2020-06-02 03:00,14157,5667,13222,6759
2020-06-02 04:00,14157,5667,13222,6759
2020-06-02 05:00,14157,5667,13222,6759
2020-06-02 06:00,14157,5667,13222,6759
2020-06-02 07:00,14165,5667,13230,6759
2020-06-02 08:00,14179,5667,13245,6760
2020-06-02 09:00,14187,5668,13259,6761
2020-06-02 10:00,14195,5671,13264,6761
2020-06-02 11:00,14199,5671,13268,6763
2020-06-02 12:00,14205,5671,13271,6767
2020-06-02 13:00,14210,5671,13278,6767
2020-06-02 14:00,14220,5672,13285,6768
2020-06-02 15:00,14230,5676,13288,6772
2020-06-02 16:00,14244,5676,13304,6775
2020-06-02 17:00,14281,5676,13338,6779
2020-06-02 18:00,14318,5681,13360,6784
2020-06-02 19:00,14351,5682,13391,6787
2020-06-02 20:00,14392,5687,13412,6791
2020-06-02 21:00,14408,5688,13429,6791
2020-06-02 22:00,14414,5690,13431,6791
2020-06-02 23:00,14415,5690,13432,6791
2020-06-03 00:00,14416,5690,13432,6791
2020-06-03 01:00,14416,5690,13432,6791
2020-06-03 02:00,14416,5690,13432,6791
2020-06-03 03:00,14416,5690,13432,6791
2020-06-03 04:00,14416,5690,13432,6791
2020-06-03 05:00,14416,5690,13432,6791
2020-06-03 06:00,14416,5690,13432,6791
2020-06-03 07:00,14423,5690,13435,6791
2020-06-03 08:00,14429,5690,13446,6791
2020-06-03 09:00,14441,5692,13453,6793
2020-06-03 10:00,14442,5692,13459,6793
2020-06-03 11:00,14446,5694,13465,6797
2020-06-03 12:00,14453,5695,13474,6797
2020-06-03 13:00,14459,5695,13478,6797
2020-06-03 14:00,14463,5695,13481,6797
2020-06-03 15:00,14477,5698,13498,6797
2020-06-03 16:00,14495,5698,13517,6800
2020-06-03 17:00,14515,5699,13550,6803
2020-06-03 18:00,14540,5704,13591,6810
2020-06-03 19:00,14595,5705,13628,6816
2020-06-03 20:00,14647,5713,13650,6820
2020-06-03 21:00,14673,5714,13661,6821
2020-06-03 22:00,14697,5716,13668,6822
2020-06-03 23:00,14701,5716,13669,6822
2020-06-04 00:00,14701,5716,13669,6822
2020-06-04 01:00,14702,5716,13670,6822
2020-06-04 02:00,14702,5716,13670,6822
2020-06-04 03:00,14702,5716,13670,6822
2020-06-04 04:00,14703,5716,13670,6822
2020-06-04 05:00,14703,5716,13670,6822
2020-06-04 06:00,14703,5716,13670,6822
2020-06-04 07:00,14706,5716,13675,6822
2020-06-04 08:00,14717,5716,13686,6822
2020-06-04 09:00,14727,5717,13700,6822
2020-06-04 10:00,14733,5717,13706,6824
2020-06-04 11:00,14742,5720,13713,6827
2020-06-04 12:00,14745,5721,13721,6828
2020-06-04 13:00,14749,5721,13726,6830
2020-06-04 14:00,14752,5722,13730,6832
2020-06-04 15:00,14758,5725,13740,6837
2020-06-04 16:00,14780,5726,13759,6842
2020-06-04 17:00,14811,5728,13775,6846
2020-06-04 18:00,14843,5737,13807,6851
2020-06-04 19:00,14873,5740,13836,6855
2020-06-04 20:00,14923,5745,13865,6860
2020-06-04 21:00,14945,5747,13877,6866
2020-06-04 22:00,14954,5747,13881,6866
2020-06-04 23:00,14956,5748,13882,6867
2020-06-05 00:00,14956,5748,13883,6867
2020-06-05 01:00,14956,5748,13885,6867
2020-06-05 02:00,14956,5748,13885,6867
2020-06-05 03:00,14956,5748,13885,6867
2020-06-05 04:00,14957,5748,13885,6867
2020-06-05 05:00,14957,5748,13886,6867
2020-06-05 06:00,14958,5748,13886,6867
2020-06-05 07:00,14962,5748,13889,6867
2020-06-05 08:00,14965,5748,13896,6867
2020-06-05 09:00,14966,5748,13899,6867
