time,cyklisté,chodci
Brněnské Ivanovice B,,Olympia,Brno
2020-05-29 17:00,5086,1024,4613,954
2020-05-29 18:00,5112,1034,4640,954
2020-05-29 19:00,5131,1040,4666,962
2020-05-29 20:00,5161,1042,4671,964
2020-05-29 21:00,5179,1047,4689,967
2020-05-29 22:00,5184,1047,4696,968
2020-05-29 23:00,5191,1051,4701,969
2020-05-30 00:00,5192,1051,4703,969
2020-05-30 01:00,5192,1051,4703,970
2020-05-30 02:00,5192,1051,4703,970
2020-05-30 03:00,5193,1051,4703,970
2020-05-30 04:00,5193,1051,4703,970
2020-05-30 05:00,5193,1053,4703,970
2020-05-30 06:00,5193,1053,4703,970
2020-05-30 07:00,5196,1053,4703,970
2020-05-30 08:00,5196,1053,4704,970
2020-05-30 09:00,5200,1053,4710,970
2020-05-30 10:00,5202,1054,4719,971
2020-05-30 11:00,5215,1059,4730,973
2020-05-30 12:00,5228,1063,4753,977
2020-05-30 13:00,5255,1067,4775,979
2020-05-30 14:00,5277,1074,4808,986
2020-05-30 15:00,5302,1087,4823,991
2020-05-30 16:00,5333,1092,4845,1008
2020-05-30 17:00,5363,1104,4876,1015
2020-05-30 18:00,5404,1131,4922,1017
2020-05-30 19:00,5440,1140,4951,1020
2020-05-30 20:00,5452,1150,4972,1020
2020-05-30 21:00,5463,1154,4986,1031
2020-05-30 22:00,5471,1159,4993,1034
2020-05-30 23:00,5475,1160,5000,1035
2020-05-31 00:00,5475,1160,5004,1035
2020-05-31 01:00,5475,1160,5004,1035
2020-05-31 02:00,5476,1160,5004,1035
2020-05-31 03:00,5476,1160,5004,1035
2020-05-31 05:00,5476,1160,5006,1035
2020-05-31 06:00,5476,1160,5007,1035
2020-05-31 07:00,5477,1160,5008,1036
2020-05-31 08:00,5478,1161,5010,1036
2020-05-31 09:00,5482,1161,5010,1039
2020-05-31 10:00,5483,1163,5011,1039
2020-05-31 11:00,5484,1163,5011,1039
2020-05-31 12:00,5484,1163,5012,1040
2020-05-31 13:00,5486,1165,5012,1041
2020-05-31 14:00,5490,1167,5014,1041
2020-05-31 15:00,5491,1168,5017,1042
2020-05-31 16:00,5494,1174,5022,1046
2020-05-31 17:00,5497,1177,5031,1052
2020-05-31 18:00,5511,1181,5041,1055
2020-05-31 19:00,5513,1188,5052,1066
2020-05-31 20:00,5526,1191,5066,1068
2020-05-31 21:00,5532,1192,5072,1071
2020-05-31 22:00,5533,1192,5072,1071
2020-05-31 23:00,5533,1192,5074,1071
2020-06-01 00:00,5533,1192,5074,1071
2020-06-01 01:00,5533,1192,5074,1071
2020-06-01 02:00,5533,1192,5074,1071
2020-06-01 03:00,5533,1192,5074,1071
2020-06-01 04:00,5533,1192,5074,1071
2020-06-01 05:00,5533,1192,5074,1071
2020-06-01 06:00,5533,1192,5074,1071
2020-06-01 07:00,5537,1192,5082,1072
2020-06-01 08:00,5548,1192,5107,1073
2020-06-01 09:00,5558,1194,5119,1073
2020-06-01 10:00,5560,1195,5134,1074
2020-06-01 11:00,5567,1199,5146,1079
2020-06-01 12:00,5578,1207,5153,1082
2020-06-01 13:00,5585,1209,5163,1087
2020-06-01 14:00,5598,1210,5175,1088
2020-06-01 15:00,5616,1215,5189,1092
2020-06-01 16:00,5639,1219,5217,1099
2020-06-01 17:00,5671,1227,5250,1102
2020-06-01 18:00,5718,1240,5291,1106
2020-06-01 19:00,5764,1249,5333,1107
2020-06-01 20:00,5800,1260,5392,1117
2020-06-01 21:00,5832,1272,5427,1121
2020-06-01 22:00,5849,1278,5438,1126
2020-06-01 23:00,5855,1280,5443,1127
2020-06-02 00:00,5855,1280,5443,1128
2020-06-02 01:00,5857,1280,5443,1128
2020-06-02 02:00,5857,1280,5443,1128
2020-06-02 03:00,5858,1280,5443,1128
