time,cyklisté,chodci
Kounicova A,,z centra,do centra
2020-05-29 17:00,2204,5239,4909,5395
2020-05-29 18:00,2204,5239,4943,5395
2020-05-29 19:00,2204,5239,4968,5395
2020-05-29 20:00,2204,5239,5009,5395
2020-05-29 21:00,2204,5239,5028,5395
2020-05-29 22:00,2204,5239,5041,5395
2020-05-29 23:00,2204,5239,5049,5395
2020-05-30 00:00,2204,5239,5055,5395
2020-05-30 01:00,2204,5239,5060,5395
2020-05-30 02:00,2204,5239,5060,5395
2020-05-30 03:00,2204,5239,5060,5395
2020-05-30 04:00,2204,5239,5061,5395
2020-05-30 05:00,2204,5239,5061,5395
2020-05-30 06:00,2204,5239,5061,5395
2020-05-30 07:00,2204,5239,5061,5395
2020-05-30 08:00,2204,5239,5063,5395
2020-05-30 09:00,2204,5239,5065,5395
2020-05-30 10:00,2204,5239,5068,5395
2020-05-30 11:00,2204,5239,5073,5395
2020-05-30 12:00,2204,5239,5080,5395
2020-05-30 13:00,2204,5239,5090,5395
2020-05-30 14:00,2204,5239,5116,5395
2020-05-30 15:00,2204,5239,5126,5395
2020-05-30 16:00,2204,5239,5140,5395
2020-05-30 17:00,2204,5239,5150,5395
2020-05-30 18:00,2204,5239,5161,5395
2020-05-30 19:00,2204,5239,5184,5395
2020-05-30 20:00,2204,5239,5203,5395
2020-05-30 21:00,2204,5239,5225,5395
2020-05-30 22:00,2204,5239,5233,5395
2020-05-30 23:00,2204,5239,5237,5395
2020-05-31 00:00,2204,5239,5242,5395
2020-05-31 01:00,2204,5239,5250,5395
2020-05-31 02:00,2204,5239,5251,5395
2020-05-31 03:00,2204,5239,5252,5395
2020-05-31 05:00,2204,5239,5252,5395
2020-05-31 06:00,2204,5239,5253,5395
2020-05-31 07:00,2204,5239,5253,5395
2020-05-31 08:00,2204,5239,5254,5395
2020-05-31 09:00,2204,5239,5254,5395
2020-05-31 10:00,2204,5239,5255,5395
2020-05-31 11:00,2204,5239,5255,5395
2020-05-31 12:00,2204,5239,5257,5395
2020-05-31 13:00,2204,5239,5259,5395
2020-05-31 14:00,2204,5239,5262,5395
2020-05-31 15:00,2204,5239,5268,5395
2020-05-31 16:00,2204,5239,5276,5395
2020-05-31 17:00,2204,5239,5279,5395
2020-05-31 18:00,2204,5239,5284,5395
2020-05-31 19:00,2204,5239,5298,5395
2020-05-31 20:00,2204,5239,5304,5395
2020-05-31 21:00,2204,5239,5311,5395
2020-05-31 22:00,2204,5239,5319,5395
2020-05-31 23:00,2204,5239,5323,5395
2020-06-01 00:00,2204,5239,5327,5395
2020-06-01 01:00,2204,5239,5327,5395
2020-06-01 02:00,2204,5239,5331,5395
2020-06-01 03:00,2204,5239,5333,5395
2020-06-01 04:00,2204,5239,5334,5395
2020-06-01 05:00,2204,5239,5334,5395
2020-06-01 06:00,2204,5239,5335,5395
2020-06-01 07:00,2204,5239,5340,5395
2020-06-01 08:00,2204,5239,5357,5395
2020-06-01 09:00,2204,5239,5379,5395
2020-06-01 10:00,2204,5239,5397,5395
2020-06-01 11:00,2204,5239,5406,5395
2020-06-01 12:00,2204,5239,5420,5395
2020-06-01 13:00,2204,5239,5439,5395
2020-06-01 14:00,2204,5239,5462,5395
2020-06-01 15:00,2204,5239,5494,5395
2020-06-01 16:00,2204,5239,5529,5395
2020-06-01 17:00,2204,5239,5574,5395
2020-06-01 18:00,2204,5239,5628,5395
2020-06-01 19:00,2204,5239,5680,5395
2020-06-01 20:00,2204,5239,5738,5395
2020-06-01 21:00,2204,5239,5765,5395
2020-06-01 22:00,2204,5239,5765,5395
2020-06-01 23:00,2204,5239,5779,5395
2020-06-02 00:00,2204,5239,5793,5395
2020-06-02 01:00,2204,5239,5795,5395
2020-06-02 02:00,2204,5239,5799,5395
2020-06-02 03:00,2204,5239,5801,5395
2020-06-02 04:00,2204,5239,5802,5395
2020-06-02 05:00,2204,5239,5802,5395
2020-06-02 06:00,2204,5239,5804,5395
2020-06-02 07:00,2204,5239,5808,5395
2020-06-02 08:00,2204,5239,5834,5395
2020-06-02 09:00,2204,5239,5861,5395
2020-06-02 10:00,2204,5239,5886,5395
2020-06-02 11:00,2204,5239,5899,5395
2020-06-02 12:00,2204,5239,5915,5395
2020-06-02 13:00,2204,5239,5948,5395
2020-06-02 14:00,2204,5239,5967,5395
2020-06-02 15:00,2204,5239,5991,5395
2020-06-02 16:00,2204,5239,6006,5395
2020-06-02 17:00,2204,5239,6046,5395
2020-06-02 18:00,2204,5239,6104,5395
2020-06-02 19:00,2204,5239,6179,5395
2020-06-02 20:00,2204,5239,6214,5395
2020-06-02 21:00,2204,5239,6243,5395
2020-06-02 22:00,2204,5239,6257,5395
2020-06-02 23:00,2204,5239,6261,5395
2020-06-03 00:00,2204,5239,6266,5395
2020-06-03 01:00,2204,5239,6271,5395
2020-06-03 02:00,2204,5239,6273,5395
2020-06-03 03:00,2204,5239,6273,5395
2020-06-03 04:00,2204,5239,6273,5395
2020-06-03 05:00,2204,5239,6275,5395
2020-06-03 06:00,2204,5239,6276,5395
2020-06-03 07:00,2204,5239,6277,5395
2020-06-03 08:00,2204,5239,6306,5395
2020-06-03 09:00,2204,5239,6327,5395
2020-06-03 10:00,2204,5239,6355,5395
2020-06-03 11:00,2204,5239,6373,5395
2020-06-03 12:00,2204,5239,6391,5395
2020-06-03 13:00,2204,5239,6417,5395
2020-06-03 14:00,2204,5239,6434,5395
2020-06-03 15:00,2204,5239,6454,5395
2020-06-03 16:00,2204,5239,6478,5395
2020-06-03 17:00,2204,5239,6524,5395
2020-06-03 18:00,2204,5239,6582,5395
2020-06-03 19:00,2204,5239,6624,5395
2020-06-03 20:00,2204,5239,6679,5395
2020-06-03 21:00,2204,5239,6709,5395
2020-06-03 22:00,2204,5239,6739,5395
2020-06-03 23:00,2204,5239,6755,5395
2020-06-04 00:00,2204,5239,6772,5395
2020-06-04 01:00,2204,5239,6781,5395
2020-06-04 02:00,2204,5239,6787,5395
2020-06-04 03:00,2204,5239,6788,5395
2020-06-04 04:00,2204,5239,6788,5395
2020-06-04 05:00,2204,5239,6789,5395
2020-06-04 06:00,2204,5239,6790,5395
2020-06-04 07:00,2204,5239,6797,5395
2020-06-04 08:00,2204,5239,6821,5395
2020-06-04 09:00,2204,5239,6847,5395
2020-06-04 10:00,2204,5239,6876,5395
2020-06-04 11:00,2204,5239,6903,5395
2020-06-04 12:00,2204,5239,6919,5395
2020-06-04 13:00,2204,5239,6942,5395
2020-06-04 14:00,2204,5239,6952,5395
2020-06-04 15:00,2204,5239,6985,5395
2020-06-04 16:00,2204,5239,7021,5395
2020-06-04 17:00,2204,5239,7067,5395
2020-06-04 18:00,2204,5239,7125,5395
2020-06-04 19:00,2204,5239,7193,5395
2020-06-04 20:00,2204,5239,7244,5395
2020-06-04 21:00,2204,5239,7271,5395
2020-06-04 22:00,2204,5239,7293,5395
2020-06-04 23:00,2204,5239,7307,5395
2020-06-05 00:00,2204,5239,7319,5395
2020-06-05 01:00,2204,5239,7324,5395
2020-06-05 02:00,2204,5239,7327,5395
2020-06-05 03:00,2204,5239,7330,5395
2020-06-05 04:00,2204,5239,7331,5395
2020-06-05 05:00,2204,5239,7331,5395
2020-06-05 06:00,2204,5239,7331,5395
2020-06-05 07:00,2204,5239,7331,5395
2020-06-05 08:00,2204,5239,7342,5395
2020-06-05 09:00,2204,5239,7345,5395
2020-06-05 10:00,2204,5239,7352,5395
2020-06-05 11:00,2204,5239,7356,5395
2020-06-05 12:00,2204,5239,7363,5395
2020-06-05 13:00,2204,5239,7369,5395
2020-06-05 14:00,2204,5239,7373,5395
2020-06-05 15:00,2204,5239,7384,5395
2020-06-05 16:00,2204,5239,7399,5395
2020-06-05 17:00,2204,5239,7411,5395
2020-06-05 18:00,2204,5239,7418,5395
2020-06-05 19:00,2204,5239,7418,5395
2020-06-05 20:00,2204,5239,7428,5395
2020-06-05 21:00,2204,5239,7442,5395
2020-06-05 22:00,2204,5239,7458,5395
2020-06-05 23:00,2204,5239,7463,5395
2020-06-06 00:00,2204,5239,7468,5395
2020-06-06 01:00,2204,5239,7472,5395
2020-06-06 02:00,2204,5239,7479,5395
2020-06-06 03:00,2204,5239,7481,5395
2020-06-06 04:00,2204,5239,7481,5395
2020-06-06 05:00,2204,5239,7481,5395
2020-06-06 06:00,2204,5239,7481,5395
2020-06-06 07:00,2204,5239,7481,5395
2020-06-06 08:00,2204,5239,7484,5395
2020-06-06 09:00,2204,5239,7487,5395
2020-06-06 10:00,2204,5239,7491,5395
2020-06-06 11:00,2204,5239,7502,5395
2020-06-06 12:00,2204,5239,7511,5395
2020-06-06 13:00,2204,5239,7519,5395
2020-06-06 14:00,2204,5239,7542,5395
2020-06-06 15:00,2204,5239,7554,5395
2020-06-06 16:00,2204,5239,7567,5395
2020-06-06 17:00,2204,5239,7579,5395
2020-06-06 18:00,2204,5239,7588,5395
2020-06-06 19:00,2204,5239,7600,5395
2020-06-06 20:00,2204,5239,7609,5395
2020-06-06 21:00,2204,5239,7628,5395
2020-06-06 22:00,2204,5239,7644,5395
2020-06-06 23:00,2204,5239,7651,5395
2020-06-07 00:00,2204,5239,7659,5395
2020-06-07 01:00,2204,5239,7664,5395
2020-06-07 02:00,2204,5239,7669,5395
2020-06-07 03:00,2204,5239,7671,5395
2020-06-07 11:00,2204,5239,7684,5395
2020-06-07 12:00,2204,5239,7691,5395
2020-06-07 13:00,2204,5239,7700,5395
2020-06-07 14:00,2204,5239,7705,5395
2020-06-07 15:00,2204,5239,7719,5395
2020-06-07 16:00,2204,5239,7740,5395
2020-06-07 17:00,2204,5239,7756,5395
2020-06-07 18:00,2204,5239,7774,5395
2020-06-07 19:00,2204,5239,7789,5395
2020-06-07 20:00,2204,5239,7806,5395
2020-06-07 21:00,2204,5239,7816,5395
2020-06-07 22:00,2204,5239,7833,5395
2020-06-07 23:00,2204,5239,7847,5395
2020-06-08 00:00,2204,5239,7851,5395
2020-06-08 01:00,2204,5239,7851,5395
2020-06-08 02:00,2204,5239,7851,5395
2020-06-08 03:00,2204,5239,7852,5395
2020-06-08 04:00,2204,5239,7852,5395
2020-06-08 05:00,2204,5239,7852,5395
2020-06-08 06:00,2204,5239,7853,5395
2020-06-08 07:00,2204,5239,7856,5395
2020-06-08 08:00,2204,5239,7867,5395
2020-06-08 09:00,2204,5239,7888,5395
2020-06-08 10:00,2204,5239,7908,5395
2020-06-08 11:00,2204,5239,7921,5395
