time,cyklisté,chodci
Lidická A,,do centra,z centra
2020-05-29 17:00,4855,12634,11774,10700
2020-05-29 18:00,4855,12634,11812,10700
2020-05-29 19:00,4855,12634,11845,10700
2020-05-29 20:00,4855,12634,11878,10700
2020-05-29 21:00,4855,12634,11895,10700
2020-05-29 22:00,4855,12634,11920,10700
2020-05-29 23:00,4855,12634,11939,10700
2020-05-30 00:00,4855,12634,11946,10700
2020-05-30 01:00,4855,12634,11951,10700
2020-05-30 02:00,4855,12634,11956,10700
2020-05-30 03:00,4855,12634,11956,10700
2020-05-30 04:00,4855,12634,11956,10700
2020-05-30 05:00,4855,12634,11958,10700
2020-05-30 06:00,4855,12634,11959,10700
2020-05-30 07:00,4855,12634,11963,10700
2020-05-30 08:00,4855,12634,11971,10700
2020-05-30 09:00,4855,12634,11977,10700
2020-05-30 10:00,4855,12634,11990,10700
2020-05-30 11:00,4855,12634,12003,10700
2020-05-30 12:00,4855,12634,12025,10700
2020-05-30 13:00,4855,12634,12056,10700
2020-05-30 14:00,4855,12634,12076,10700
2020-05-30 15:00,4855,12634,12107,10700
2020-05-30 16:00,4855,12634,12128,10700
2020-05-30 17:00,4855,12634,12137,10700
2020-05-30 18:00,4855,12634,12153,10700
2020-05-30 19:00,4855,12634,12171,10700
2020-05-30 20:00,4855,12634,12188,10700
2020-05-30 21:00,4855,12634,12202,10700
2020-05-30 22:00,4855,12634,12218,10700
2020-05-30 23:00,4855,12634,12221,10700
2020-05-31 00:00,4855,12634,12223,10700
2020-05-31 01:00,4855,12634,12224,10700
2020-05-31 02:00,4855,12634,12229,10700
2020-05-31 03:00,4855,12634,12229,10700
2020-05-31 05:00,4855,12634,12231,10700
2020-05-31 06:00,4855,12634,12232,10700
2020-05-31 07:00,4855,12634,12237,10700
2020-05-31 08:00,4855,12634,12239,10700
2020-05-31 09:00,4855,12634,12239,10700
2020-05-31 10:00,4855,12634,12241,10700
2020-05-31 11:00,4855,12634,12244,10700
2020-05-31 12:00,4855,12634,12250,10700
2020-05-31 13:00,4855,12634,12255,10700
2020-05-31 14:00,4855,12634,12260,10700
2020-05-31 15:00,4855,12634,12268,10700
2020-05-31 16:00,4855,12634,12276,10700
2020-05-31 17:00,4855,12634,12278,10700
2020-05-31 18:00,4855,12634,12283,10700
2020-05-31 19:00,4855,12634,12298,10700
2020-05-31 20:00,4855,12634,12312,10700
2020-05-31 21:00,4855,12634,12319,10700
2020-05-31 22:00,4855,12634,12327,10700
2020-05-31 23:00,4855,12634,12331,10700
2020-06-01 00:00,4855,12634,12334,10700
2020-06-01 01:00,4855,12634,12335,10700
2020-06-01 02:00,4855,12634,12337,10700
2020-06-01 03:00,4855,12634,12337,10700
2020-06-01 04:00,4855,12634,12337,10700
2020-06-01 05:00,4855,12634,12337,10700
2020-06-01 06:00,4855,12634,12339,10700
2020-06-01 07:00,4855,12634,12362,10700
2020-06-01 08:00,4855,12634,12394,10700
2020-06-01 09:00,4855,12634,12437,10700
2020-06-01 10:00,4855,12634,12471,10700
2020-06-01 11:00,4855,12634,12514,10700
2020-06-01 12:00,4855,12634,12538,10700
2020-06-01 13:00,4855,12634,12557,10700
2020-06-01 14:00,4855,12634,12596,10700
2020-06-01 15:00,4855,12634,12639,10700
2020-06-01 16:00,4855,12634,12671,10700
2020-06-01 17:00,4855,12634,12716,10700
2020-06-01 18:00,4855,12634,12760,10700
2020-06-01 19:00,4855,12634,12825,10700
2020-06-01 20:00,4855,12634,12863,10700
2020-06-01 21:00,4855,12634,12898,10700
2020-06-01 22:00,4855,12634,12932,10700
2020-06-01 23:00,4855,12634,12948,10700
2020-06-02 00:00,4855,12634,12961,10700
2020-06-02 01:00,4855,12634,12964,10700
2020-06-02 02:00,4855,12634,12969,10700
2020-06-02 03:00,4855,12634,12969,10700
2020-06-02 04:00,4855,12634,12969,10700
2020-06-02 05:00,4855,12634,12969,10700
2020-06-02 06:00,4855,12634,12972,10700
