time,cyklisté,chodci
Obřany,,Bílovice n. Svitavou,Obřany
2020-05-29 17:00,22195,13669,6231,12051
2020-05-29 18:00,22227,13678,6254,12053
2020-05-29 19:00,22259,13687,6265,12059
2020-05-29 20:00,22298,13701,6269,12060
2020-05-29 21:00,22350,13708,6291,12060
2020-05-29 22:00,22367,13712,6298,12061
2020-05-29 23:00,22368,13713,6299,12061
2020-05-30 00:00,22369,13714,6299,12061
2020-05-30 01:00,22369,13714,6299,12061
2020-05-30 02:00,22369,13714,6300,12061
2020-05-30 03:00,22369,13714,6300,12061
2020-05-30 04:00,22369,13714,6300,12061
2020-05-30 05:00,22369,13714,6300,12061
2020-05-30 06:00,22369,13714,6300,12061
2020-05-30 07:00,22373,13715,6300,12061
2020-05-30 08:00,22375,13715,6302,12062
2020-05-30 09:00,22377,13716,6305,12063
2020-05-30 10:00,22381,13720,6306,12064
2020-05-30 11:00,22390,13720,6318,12065
2020-05-30 12:00,22412,13721,6343,12071
2020-05-30 13:00,22470,13728,6364,12076
2020-05-30 14:00,22569,13746,6372,12083
2020-05-30 15:00,22633,13761,6386,12086
2020-05-30 16:00,22690,13778,6401,12102
2020-05-30 17:00,22808,13800,6454,12115
2020-05-30 18:00,22919,13812,6470,12122
2020-05-30 19:00,23023,13850,6490,12125
2020-05-30 20:00,23098,13868,6498,12127
2020-05-30 21:00,23098,13868,6498,12127
2020-05-30 22:00,23114,13870,6500,12128
2020-05-30 23:00,23119,13870,6501,12130
2020-05-31 00:00,23120,13872,6501,12131
2020-05-31 01:00,23120,13872,6503,12131
2020-05-31 02:00,23120,13872,6504,12131
2020-05-31 03:00,23120,13872,6505,12131
2020-05-31 05:00,23121,13872,6505,12131
2020-05-31 06:00,23121,13872,6505,12131
2020-05-31 07:00,23122,13872,6505,12132
2020-05-31 08:00,23123,13873,6505,12133
2020-05-31 09:00,23124,13873,6505,12133
2020-05-31 10:00,23125,13873,6505,12133
2020-05-31 11:00,23125,13874,6505,12137
2020-05-31 12:00,23131,13880,6505,12137
2020-05-31 13:00,23150,13882,6506,12137
2020-05-31 14:00,23152,13885,6508,12137
2020-05-31 15:00,23157,13887,6508,12137
2020-05-31 16:00,23163,13896,6511,12140
2020-05-31 17:00,23174,13902,6513,12141
2020-05-31 18:00,23187,13905,6519,12142
2020-05-31 19:00,23199,13911,6526,12142
2020-05-31 20:00,23211,13914,6529,12145
2020-05-31 21:00,23224,13919,6530,12146
2020-05-31 22:00,23228,13922,6531,12146
2020-05-31 23:00,23231,13923,6531,12146
2020-06-01 00:00,23231,13923,6531,12146
2020-06-01 01:00,23231,13923,6531,12146
2020-06-01 02:00,23231,13923,6531,12146
2020-06-01 03:00,23232,13923,6531,12147
2020-06-01 04:00,23232,13923,6531,12147
2020-06-01 05:00,23232,13923,6531,12147
2020-06-01 06:00,23235,13923,6531,12147
2020-06-01 07:00,23250,13923,6531,12148
