time,cyklisté,chodci
Pisárky,,Štýřice,Nový Lískovec
2020-05-29 17:00,20566,30843,4464,21228
2020-05-29 18:00,20645,30852,4481,21247
2020-05-29 19:00,20645,30852,4481,21247
2020-05-29 20:00,20645,30852,4481,21247
2020-05-29 21:00,20645,30852,4481,21247
2020-05-29 22:00,20645,30852,4481,21247
2020-05-29 23:00,20680,30866,4493,21251
2020-05-30 00:00,20682,30866,4493,21254
2020-05-30 01:00,20685,30869,4493,21255
2020-05-30 02:00,20686,30869,4493,21258
2020-05-30 03:00,20688,30872,4493,21258
2020-05-30 04:00,20688,30872,4493,21258
2020-05-30 05:00,20688,30872,4493,21259
2020-05-30 06:00,20688,30872,4493,21259
2020-05-30 07:00,20690,30872,4494,21261
2020-05-30 08:00,20691,30874,4496,21263
2020-05-30 09:00,20694,30881,4501,21267
2020-05-30 10:00,20704,30889,4507,21273
2020-05-30 11:00,20724,30902,4524,21283
2020-05-30 12:00,20796,30933,4575,21320
2020-05-30 13:00,20863,30944,4603,21340
2020-05-30 14:00,20900,30960,4653,21354
2020-05-30 15:00,20962,30974,4692,21368
2020-05-30 16:00,21035,30986,4729,21373
2020-05-30 17:00,21118,31003,4778,21389
2020-05-30 18:00,21171,31017,4807,21405
2020-05-30 19:00,21171,31017,4807,21405
2020-05-30 20:00,21171,31017,4807,21405
2020-05-30 21:00,21171,31017,4807,21405
2020-05-30 22:00,21171,31017,4807,21405
2020-05-30 23:00,21200,31026,4823,21414
2020-05-31 00:00,21200,31027,4823,21415
2020-05-31 01:00,21200,31030,4825,21416
2020-05-31 02:00,21200,31030,4825,21417
2020-05-31 03:00,21200,31030,4825,21419
2020-05-31 05:00,21200,31030,4825,21421
2020-05-31 06:00,21200,31033,4825,21422
2020-05-31 07:00,21200,31033,4825,21422
2020-05-31 08:00,21202,31036,4827,21423
2020-05-31 09:00,21203,31038,4828,21424
2020-05-31 10:00,21205,31041,4830,21425
2020-05-31 11:00,21206,31042,4831,21428
2020-05-31 12:00,21210,31045,4837,21436
2020-05-31 13:00,21215,31055,4843,21442
2020-05-31 14:00,21217,31063,4844,21451
2020-05-31 15:00,21222,31067,4850,21460
2020-05-31 16:00,21226,31083,4857,21475
2020-05-31 17:00,21238,31108,4859,21492
2020-05-31 18:00,21248,31132,4868,21506
2020-05-31 19:00,21248,31132,4868,21506
2020-05-31 20:00,21248,31132,4868,21506
2020-05-31 21:00,21248,31132,4868,21506
2020-05-31 22:00,21248,31132,4868,21506
2020-05-31 23:00,21252,31135,4869,21520
2020-06-01 00:00,21252,31140,4869,21520
2020-06-01 01:00,21252,31142,4869,21522
2020-06-01 02:00,21252,31143,4869,21523
2020-06-01 03:00,21252,31143,4869,21523
2020-06-01 04:00,21252,31143,4869,21524
2020-06-01 05:00,21252,31143,4869,21524
2020-06-01 06:00,21253,31143,4870,21524
2020-06-01 07:00,21255,31143,4876,21525
2020-06-01 08:00,21268,31153,4901,21528
2020-06-01 09:00,21286,31161,4927,21536
2020-06-01 10:00,21299,31167,4954,21544
2020-06-01 11:00,21299,31167,4954,21544
2020-06-01 12:00,21321,31205,4974,21572
2020-06-01 13:00,21339,31213,4988,21588
2020-06-01 14:00,21365,31227,5007,21606
2020-06-01 15:00,21399,31247,5032,21631
2020-06-01 16:00,21457,31263,5065,21651
2020-06-01 17:00,21555,31269,5122,21664
2020-06-01 18:00,21704,31298,5207,21686
2020-06-01 19:00,21704,31298,5207,21686
2020-06-01 20:00,21704,31298,5207,21686
2020-06-01 21:00,21704,31298,5207,21686
2020-06-01 22:00,21704,31298,5207,21686
2020-06-01 23:00,21751,31310,5220,21698
2020-06-02 00:00,21756,31312,5220,21699
2020-06-02 01:00,21757,31312,5220,21701
2020-06-02 02:00,21757,31313,5220,21703
2020-06-02 03:00,21757,31313,5220,21703
2020-06-02 04:00,21757,31313,5220,21703
2020-06-02 05:00,21757,31314,5220,21704
2020-06-02 06:00,21758,31315,5223,21705
2020-06-02 07:00,21761,31320,5237,21707
2020-06-02 08:00,21777,31329,5288,21715
2020-06-02 09:00,21803,31340,5334,21729
2020-06-02 10:00,21835,31349,5377,21743
2020-06-02 11:00,21865,31389,5400,21804
2020-06-02 12:00,21884,31407,5418,21816
2020-06-02 13:00,21902,31411,5451,21822
2020-06-02 14:00,21923,31423,5463,21831
2020-06-02 15:00,21949,31434,5483,21835
2020-06-02 16:00,21999,31448,5504,21846
2020-06-02 17:00,22109,31454,5539,21857
2020-06-02 18:00,22109,31454,5539,21857
2020-06-02 19:00,22109,31454,5539,21857
2020-06-02 20:00,22109,31454,5539,21857
2020-06-02 21:00,22109,31454,5539,21857
2020-06-02 22:00,22259,31475,5639,21888
2020-06-02 23:00,22264,31481,5643,21897
2020-06-03 00:00,22266,31481,5644,21897
2020-06-03 01:00,22266,31481,5644,21897
2020-06-03 02:00,22266,31481,5644,21897
2020-06-03 03:00,22266,31481,5644,21897
2020-06-03 04:00,22266,31481,5644,21897
2020-06-03 05:00,22266,31481,5644,21897
2020-06-03 06:00,22267,31481,5645,21897
2020-06-03 07:00,22268,31481,5657,21899
2020-06-03 08:00,22277,31490,5691,21914
2020-06-03 09:00,22295,31503,5739,21920
2020-06-03 10:00,22319,31507,5778,21929
2020-06-03 11:00,22335,31517,5804,21936
2020-06-03 12:00,22352,31528,5824,21942
2020-06-03 13:00,22368,31534,5841,21949
2020-06-03 14:00,22393,31540,5850,21965
2020-06-03 15:00,22423,31555,5871,21977
2020-06-03 16:00,22492,31574,5897,21985
2020-06-03 17:00,22596,31585,5961,21997
2020-06-03 18:00,22779,31600,6069,22028
2020-06-03 19:00,22779,31600,6069,22028
2020-06-03 20:00,22779,31600,6069,22028
2020-06-03 21:00,22779,31600,6069,22028
2020-06-03 22:00,22779,31600,6069,22028
2020-06-03 23:00,22788,31602,6074,22041
2020-06-04 00:00,22796,31608,6074,22045
2020-06-04 01:00,22797,31612,6075,22046
2020-06-04 02:00,22797,31612,6075,22046
2020-06-04 03:00,22797,31612,6075,22046
2020-06-04 04:00,22797,31612,6075,22046
2020-06-04 05:00,22797,31612,6075,22046
2020-06-04 06:00,22799,31612,6077,22046
2020-06-04 07:00,22804,31616,6086,22048
2020-06-04 08:00,22824,31625,6125,22057
2020-06-04 09:00,22849,31735,6183,22140
2020-06-04 10:00,22874,31742,6214,22146
2020-06-04 11:00,22905,31757,6242,22151
2020-06-04 12:00,22928,31775,6266,22171
2020-06-04 13:00,22949,31784,6287,22185
2020-06-04 14:00,22965,31791,6298,22192
2020-06-04 15:00,22993,31805,6320,22207
2020-06-04 16:00,23057,31827,6350,22226
2020-06-04 17:00,23163,31853,6408,22249
2020-06-04 18:00,23314,31902,6454,22277
2020-06-04 19:00,23314,31902,6454,22277
2020-06-04 20:00,23314,31902,6454,22277
2020-06-04 21:00,23314,31902,6454,22277
2020-06-04 22:00,23363,31916,6481,22295
2020-06-04 23:00,23370,31931,6484,22302
2020-06-05 00:00,23372,31934,6484,22310
2020-06-05 01:00,23373,31934,6484,22311
2020-06-05 02:00,23373,31934,6484,22311
2020-06-05 03:00,23373,31934,6484,22312
2020-06-05 04:00,23373,31934,6484,22312
2020-06-05 05:00,23373,31934,6484,22312
2020-06-05 06:00,23373,31934,6486,22312
2020-06-05 07:00,23375,31935,6488,22314
2020-06-05 08:00,23381,31939,6498,22319
2020-06-05 09:00,23386,31946,6512,22324
2020-06-05 10:00,23388,31947,6516,22325
2020-06-05 11:00,23389,31949,6521,22325
2020-06-05 12:00,23389,31949,6525,22327
2020-06-05 13:00,23390,31950,6527,22330
2020-06-05 14:00,23392,31952,6531,22334
2020-06-05 15:00,23397,31955,6535,22340
2020-06-05 16:00,23411,31957,6545,22348
2020-06-05 17:00,23426,31968,6548,22356
2020-06-05 18:00,23446,31983,6553,22371
2020-06-05 19:00,23460,32003,6562,22391
2020-06-05 20:00,23476,32021,6578,22404
2020-06-05 21:00,23492,32029,6590,22425
2020-06-05 22:00,23492,32029,6590,22425
2020-06-05 23:00,23499,32045,6595,22441
2020-06-06 00:00,23501,32047,6595,22448
2020-06-06 01:00,23502,32048,6595,22451
2020-06-06 02:00,23502,32049,6595,22451
2020-06-06 03:00,23502,32049,6595,22451
2020-06-06 04:00,23502,32052,6595,22454
2020-06-06 05:00,23502,32055,6595,22455
2020-06-06 06:00,23502,32055,6595,22456
2020-06-06 07:00,23504,32057,6597,22457
2020-06-06 08:00,23507,32061,6599,22458
2020-06-06 09:00,23514,32069,6606,22465
2020-06-06 10:00,23525,32076,6620,22483
2020-06-06 11:00,23525,32076,6620,22483
2020-06-06 12:00,23587,32101,6697,22514
2020-06-06 13:00,23673,32120,6748,22532
2020-06-06 14:00,23747,32133,6789,22553
2020-06-06 15:00,23843,32157,6835,22571
2020-06-06 16:00,23955,32182,6922,22592
2020-06-06 17:00,24049,32217,7013,22622
2020-06-06 18:00,24049,32217,7013,22622
2020-06-06 19:00,24049,32217,7013,22622
2020-06-06 20:00,24049,32217,7013,22622
2020-06-06 21:00,24049,32217,7013,22622
2020-06-06 22:00,24098,32236,7062,22639
2020-06-06 23:00,24106,32244,7062,22649
2020-06-07 00:00,24106,32245,7062,22649
2020-06-07 01:00,24108,32245,7062,22649
2020-06-07 02:00,24108,32249,7062,22649
2020-06-07 03:00,24108,32249,7062,22649
2020-06-07 11:00,24136,32279,7085,22669
2020-06-07 12:00,24190,32303,7105,22687
2020-06-07 13:00,24228,32331,7159,22704
2020-06-07 14:00,24281,32351,7200,22717
2020-06-07 15:00,24362,32368,7240,22743
2020-06-07 16:00,24436,32397,7278,22770
2020-06-07 17:00,24471,32419,7337,22798
2020-06-07 18:00,24527,32434,7369,22830
2020-06-07 19:00,24527,32434,7369,22830
2020-06-07 20:00,24527,32434,7369,22830
2020-06-07 21:00,24527,32434,7369,22830
2020-06-07 22:00,24527,32434,7369,22830
2020-06-07 23:00,24547,32459,7386,22845
2020-06-08 00:00,24547,32464,7387,22848
2020-06-08 01:00,24547,32465,7387,22848
2020-06-08 02:00,24547,32466,7387,22850
2020-06-08 03:00,24548,32468,7387,22853
2020-06-08 04:00,24548,32468,7387,22853
2020-06-08 05:00,24548,32468,7387,22853
2020-06-08 06:00,24548,32469,7388,22853
2020-06-08 07:00,24551,32472,7395,22854
2020-06-08 08:00,24563,32482,7413,22865
2020-06-08 09:00,24570,32489,7433,22867
2020-06-08 10:00,24578,32495,7456,22874
2020-06-08 11:00,24587,32503,7468,22884
2020-06-08 12:00,24593,32508,7475,22892
2020-06-08 13:00,24599,32516,7485,22901
2020-06-08 14:00,24607,32528,7498,22919
2020-06-08 15:00,24617,32539,7522,22927
