time,cyklisté,chodci
Renneska 2,,Renneska,Heršpická
2020-05-29 17:00,14060,10826,5169,9989
2020-05-29 18:00,14079,10833,5209,9996
2020-05-29 19:00,14101,10840,5243,10006
2020-05-29 20:00,14109,10844,5249,10008
2020-05-29 21:00,14113,10849,5262,10010
2020-05-29 22:00,14119,10850,5271,10014
2020-05-29 23:00,14119,10851,5272,10015
2020-05-30 00:00,14119,10851,5272,10017
2020-05-30 01:00,14119,10851,5272,10017
2020-05-30 02:00,14119,10851,5272,10017
2020-05-30 03:00,14119,10851,5272,10017
2020-05-30 04:00,14119,10851,5272,10017
2020-05-30 05:00,14119,10851,5272,10017
2020-05-30 06:00,14119,10851,5272,10017
2020-05-30 07:00,14121,10851,5273,10017
2020-05-30 08:00,14126,10853,5277,10017
2020-05-30 09:00,14127,10854,5277,10018
2020-05-30 10:00,14133,10855,5280,10019
2020-05-30 11:00,14140,10859,5285,10021
2020-05-30 12:00,14174,10860,5309,10024
2020-05-30 13:00,14211,10866,5320,10024
2020-05-30 14:00,14226,10870,5329,10026
2020-05-30 15:00,14251,10872,5342,10030
2020-05-30 16:00,14283,10878,5366,10036
2020-05-30 17:00,14316,10885,5393,10038
2020-05-30 18:00,14337,10891,5422,10049
2020-05-30 19:00,14357,10894,5448,10050
2020-05-30 20:00,14371,10896,5461,10054
2020-05-30 21:00,14378,10898,5474,10061
2020-05-30 22:00,14386,10899,5484,10063
2020-05-30 23:00,14387,10899,5485,10064
2020-05-31 00:00,14387,10900,5485,10064
2020-05-31 01:00,14387,10901,5485,10066
2020-05-31 02:00,14387,10901,5485,10066
2020-05-31 03:00,14387,10902,5485,10068
2020-05-31 05:00,14387,10903,5485,10070
2020-05-31 06:00,14387,10904,5485,10072
2020-05-31 07:00,14387,10904,5488,10072
2020-05-31 08:00,14388,10904,5488,10072
2020-05-31 09:00,14388,10904,5488,10072
2020-05-31 10:00,14389,10904,5488,10072
2020-05-31 11:00,14389,10905,5488,10072
2020-05-31 12:00,14392,10906,5489,10072
2020-05-31 13:00,14392,10906,5492,10072
2020-05-31 14:00,14392,10906,5493,10072
2020-05-31 15:00,14395,10907,5493,10072
2020-05-31 16:00,14396,10908,5493,10072
2020-05-31 17:00,14398,10908,5496,10072
2020-05-31 18:00,14403,10908,5501,10072
2020-05-31 19:00,14407,10909,5505,10074
2020-05-31 20:00,14410,10911,5512,10074
2020-05-31 21:00,14411,10912,5514,10076
2020-05-31 22:00,14411,10913,5514,10077
2020-05-31 23:00,14411,10913,5514,10077
2020-06-01 00:00,14411,10913,5514,10078
2020-06-01 01:00,14411,10913,5514,10078
2020-06-01 02:00,14411,10913,5514,10078
2020-06-01 03:00,14411,10913,5514,10078
2020-06-01 04:00,14411,10913,5514,10078
2020-06-01 05:00,14411,10913,5514,10078
2020-06-01 06:00,14411,10913,5514,10078
2020-06-01 07:00,14417,10913,5518,10078
2020-06-01 08:00,14423,10914,5523,10078
2020-06-01 09:00,14430,10915,5530,10078
2020-06-01 10:00,14446,10917,5531,10078
2020-06-01 11:00,14456,10921,5534,10078
2020-06-01 12:00,14461,10923,5537,10078
2020-06-01 13:00,14478,10925,5545,10081
2020-06-01 14:00,14485,10928,5548,10084
2020-06-01 15:00,14503,10933,5556,10087
2020-06-01 16:00,14530,10936,5578,10089
2020-06-01 17:00,14553,10936,5609,10094
2020-06-01 18:00,14592,10937,5650,10100
2020-06-01 19:00,14626,10939,5691,10108
2020-06-01 20:00,14641,10940,5721,10114
2020-06-01 21:00,14651,10942,5747,10120
2020-06-01 22:00,14662,10947,5769,10127
2020-06-01 23:00,14663,10947,5772,10132
2020-06-02 00:00,14663,10947,5772,10132
2020-06-02 01:00,14663,10947,5772,10134
2020-06-02 02:00,14663,10947,5772,10136
2020-06-02 03:00,14663,10947,5772,10136
2020-06-02 04:00,14663,10947,5772,10138
2020-06-02 05:00,14663,10947,5772,10138
2020-06-02 06:00,14664,10947,5772,10140
2020-06-02 07:00,14676,10948,5778,10140
2020-06-02 08:00,14702,10948,5787,10140
2020-06-02 09:00,14731,10948,5794,10141
2020-06-02 10:00,14758,10961,5801,10142
2020-06-02 11:00,14775,10961,5812,10144
2020-06-02 12:00,14788,10963,5819,10154
2020-06-02 13:00,14804,10970,5827,10160
2020-06-02 14:00,14818,10971,5835,10167
2020-06-02 15:00,14834,10974,5845,10168
2020-06-02 16:00,14852,10974,5864,10172
2020-06-02 17:00,14881,10975,5911,10174
2020-06-02 18:00,14919,10976,5954,10181
2020-06-02 19:00,14953,10982,6005,10195
2020-06-02 20:00,14976,10987,6040,10213
2020-06-02 21:00,14986,10989,6056,10217
2020-06-02 22:00,14989,10991,6062,10221
2020-06-02 23:00,14989,10991,6063,10221
2020-06-03 00:00,14989,10991,6065,10221
2020-06-03 01:00,14989,10991,6065,10221
2020-06-03 02:00,14989,10991,6065,10221
2020-06-03 03:00,14989,10991,6065,10221
2020-06-03 04:00,14989,10991,6065,10221
2020-06-03 05:00,14989,10991,6065,10221
2020-06-03 06:00,14989,10991,6065,10221
2020-06-03 07:00,14992,10991,6066,10221
2020-06-03 08:00,14999,10991,6069,10221
2020-06-03 09:00,15008,10992,6073,10221
2020-06-03 10:00,15015,10994,6074,10221
