time,cyklisté,chodci
Obřany,,Bílovice n. Svitavou,Obřany
2020-05-29 18:00,55,11
2020-05-29 19:00,43,15
2020-05-29 20:00,43,15
2020-05-29 21:00,74,7
2020-05-29 22:00,24,5
2020-05-29 23:00,2,1
2020-05-30 00:00,1,1
2020-05-30 01:00,0,0
2020-05-30 02:00,1,0
2020-05-30 03:00,0,0
2020-05-30 04:00,0,0
2020-05-30 05:00,0,0
2020-05-30 06:00,0,0
2020-05-30 07:00,4,1
2020-05-30 08:00,4,1
2020-05-30 09:00,5,2
2020-05-30 10:00,5,5
2020-05-30 11:00,21,1
2020-05-30 12:00,47,7
2020-05-30 13:00,79,12
2020-05-30 14:00,107,25
2020-05-30 15:00,78,18
2020-05-30 16:00,72,33
2020-05-30 17:00,171,35
2020-05-30 18:00,127,19
2020-05-30 19:00,124,41
2020-05-30 20:00,83,20
2020-05-30 21:00,0,0
2020-05-30 22:00,18,3
2020-05-30 23:00,6,2
2020-05-31 00:00,1,3
2020-05-31 01:00,2,0
2020-05-31 02:00,1,0
2020-05-31 03:00,1,0
2020-05-31 05:00,1,0
2020-05-31 06:00,0,0
2020-05-31 07:00,1,1
2020-05-31 08:00,1,2
2020-05-31 09:00,1,0
2020-05-31 10:00,1,0
2020-05-31 11:00,0,5
2020-05-31 12:00,6,6
2020-05-31 13:00,20,2
2020-05-31 14:00,4,3
2020-05-31 15:00,5,2
2020-05-31 16:00,9,12
2020-05-31 17:00,13,7
2020-05-31 18:00,19,4
2020-05-31 19:00,19,6
2020-05-31 20:00,15,6
2020-05-31 21:00,14,6
2020-05-31 22:00,5,3
2020-05-31 23:00,3,1
2020-06-01 00:00,0,0
2020-06-01 01:00,0,0
2020-06-01 02:00,0,0
2020-06-01 03:00,1,1
2020-06-01 04:00,0,0
2020-06-01 05:00,0,0
2020-06-01 06:00,3,0
2020-06-01 07:00,15,1
2020-06-01 08:00,24,3
2020-06-01 09:00,18,1
2020-06-01 10:00,21,2
2020-06-01 11:00,14,1
2020-06-01 12:00,37,3
2020-06-01 13:00,41,6
2020-06-01 14:00,41,9
2020-06-01 15:00,62,7
2020-06-01 16:00,88,9
2020-06-01 17:00,115,5
2020-06-01 18:00,163,32
2020-06-01 19:00,209,38
2020-06-01 20:00,201,62
2020-06-01 21:00,142,32
2020-06-01 22:00,62,16
2020-06-01 23:00,19,1
2020-06-02 00:00,4,4
2020-06-02 01:00,1,0
2020-06-02 02:00,0,0
2020-06-02 03:00,0,0
2020-06-02 04:00,0,0
2020-06-02 05:00,1,0
2020-06-02 06:00,4,0
2020-06-02 07:00,21,0
2020-06-02 08:00,45,23
