time,cyklisté,chodci
Pisárky,,Štýřice,Nový Lískovec
2020-05-29 18:00,96,28
2020-05-29 19:00,0,0
2020-05-29 20:00,0,0
2020-05-29 21:00,0,0
2020-05-29 22:00,0,0
2020-05-29 23:00,47,18
2020-05-30 00:00,2,3
2020-05-30 01:00,3,4
2020-05-30 02:00,1,3
2020-05-30 03:00,2,3
2020-05-30 04:00,0,0
2020-05-30 05:00,0,1
2020-05-30 06:00,0,0
2020-05-30 07:00,3,2
2020-05-30 08:00,3,4
2020-05-30 09:00,8,11
2020-05-30 10:00,16,14
2020-05-30 11:00,37,23
2020-05-30 12:00,123,68
2020-05-30 13:00,95,31
2020-05-30 14:00,87,30
2020-05-30 15:00,101,28
2020-05-30 16:00,110,17
2020-05-30 17:00,132,33
2020-05-30 18:00,82,30
2020-05-30 19:00,0,0
2020-05-30 20:00,0,0
2020-05-30 21:00,0,0
2020-05-30 22:00,0,0
2020-05-30 23:00,45,18
2020-05-31 00:00,0,2
2020-05-31 01:00,2,4
2020-05-31 02:00,0,1
2020-05-31 03:00,0,2
2020-05-31 05:00,0,2
2020-05-31 06:00,0,4
2020-05-31 07:00,0,0
2020-05-31 08:00,4,4
2020-05-31 09:00,2,3
2020-05-31 10:00,4,4
2020-05-31 11:00,2,4
2020-05-31 12:00,10,11
2020-05-31 13:00,11,16
2020-05-31 14:00,3,17
2020-05-31 15:00,11,13
2020-05-31 16:00,11,31
2020-05-31 17:00,14,42
2020-05-31 18:00,19,38
2020-05-31 19:00,0,0
2020-05-31 20:00,0,0
2020-05-31 21:00,0,0
2020-05-31 22:00,0,0
2020-05-31 23:00,5,17
2020-06-01 00:00,0,5
2020-06-01 01:00,0,4
2020-06-01 02:00,0,2
2020-06-01 03:00,0,0
2020-06-01 04:00,0,1
2020-06-01 05:00,0,0
2020-06-01 06:00,2,0
2020-06-01 07:00,8,1
2020-06-01 08:00,38,13
2020-06-01 09:00,44,16
2020-06-01 10:00,40,14
2020-06-01 11:00,0,0
2020-06-01 12:00,42,66
2020-06-01 13:00,32,24
2020-06-01 14:00,45,32
2020-06-01 15:00,59,45
2020-06-01 16:00,91,36
2020-06-01 17:00,155,19
2020-06-01 18:00,234,51
2020-06-01 19:00,0,0
2020-06-01 20:00,0,0
2020-06-01 21:00,0,0
2020-06-01 22:00,0,0
2020-06-01 23:00,60,24
2020-06-02 00:00,5,3
2020-06-02 01:00,1,2
2020-06-02 02:00,0,3
2020-06-02 03:00,0,0
2020-06-02 04:00,0,0
2020-06-02 05:00,0,2
2020-06-02 06:00,4,2
2020-06-02 07:00,17,7
2020-06-02 08:00,67,17
2020-06-02 09:00,72,25
2020-06-02 10:00,75,23
2020-06-02 11:00,53,101
2020-06-02 12:00,37,30
2020-06-02 13:00,51,10
2020-06-02 14:00,33,21
2020-06-02 15:00,46,15
2020-06-02 16:00,71,25
2020-06-02 17:00,145,17
2020-06-02 18:00,0,0
2020-06-02 19:00,0,0
2020-06-02 20:00,0,0
2020-06-02 21:00,0,0
2020-06-02 22:00,250,52
2020-06-02 23:00,9,15
2020-06-03 00:00,3,0
2020-06-03 01:00,0,0
