Brněnské Ivanovice 1+2,,Olympia,Brno
time,cyklisté,chodci
2020-05-29,355,56
2020-05-30,1113,263
2020-05-31,213,94
2020-06-01,1165,205
2020-06-02,1001,147
2020-06-03,1311,234
2020-06-04,1153,196
2020-06-05,244,65
2020-06-06,1624,310
2020-06-07,1014,202
2020-06-08,460,80
2020-06-09,888,118
2020-06-10,308,83
2020-06-11,1001,142
2020-06-12,1051,160
2020-06-13,708,156
2020-06-14,733,171
2020-06-15,946,139
2020-06-16,1060,171
2020-06-17,1000,109
2020-06-18,238,56
2020-06-19,240,74
2020-06-20,120,81
2020-06-21,4,4
2020-06-22,323,52
2020-06-23,803,114
2020-06-24,446,66
2020-06-25,601,100
2020-06-26,219,55
2020-06-27,852,170
2020-06-28,992,118
2020-06-29,125,45
2020-06-30,775,80
2020-07-01,928,91
2020-07-02,148,23
2020-07-03,0,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,0,0
2020-07-08,0,0
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,0
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,0
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,0,0
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,0
2020-09-10,0,0
2020-09-11,0,0
2020-09-12,0,0
2020-09-13,0,0
2020-09-14,0,0
2020-09-15,0,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,34,25
2020-11-25,4,2
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,5,7
2020-12-02,121,78
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,5
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,1,9
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,123,124
2020-12-16,44,37
2020-12-17,17,12
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,6,6
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
