Brněnské Ivanovice B,,Olympia,Brno
time,cyklisté,chodci
2020-05-29,193,42
2020-05-30,583,175
2020-05-31,132,68
2020-06-01,691,144
2020-06-02,531,92
2020-06-03,788,177
2020-06-04,685,119
2020-06-05,152,44
2020-06-06,848,191
2020-06-07,565,136
2020-06-08,262,55
2020-06-09,526,78
2020-06-10,223,65
2020-06-11,573,84
2020-06-12,651,100
2020-06-13,245,55
2020-06-14,454,102
2020-06-15,591,96
2020-06-16,615,99
2020-06-17,601,70
2020-06-18,158,33
2020-06-19,146,58
2020-06-20,60,54
2020-06-21,2,4
2020-06-22,323,52
2020-06-23,803,114
2020-06-24,446,66
2020-06-25,601,100
2020-06-26,219,55
2020-06-27,852,170
2020-06-28,992,118
2020-06-29,125,45
2020-06-30,775,80
2020-07-01,928,91
2020-07-02,148,23
2020-07-03,0,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,0,0
2020-07-08,0,0
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,0
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,0
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,0,0
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,0
2020-09-10,0,0
2020-09-11,0,0
2020-09-12,0,0
2020-09-13,0,0
2020-09-14,0,0
2020-09-15,0,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,5,7
2020-12-02,56,58
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,1,9
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,64,71
2020-12-16,24,27
2020-12-17,9,11
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,6,6
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,0,0
2021-01-03,0,0
2021-01-04,0,0
2021-01-05,0,0
2021-01-06,0,0
2021-01-07,6,6
2021-01-08,0,0
2021-01-09,0,0
2021-01-10,6,6
2021-01-11,0,0
2021-01-12,0,0
2021-01-13,0,0
2021-01-14,6,6
2021-01-15,6,6
2021-01-16,6,6
2021-01-17,-21,-20
2021-01-18,0,0
2021-01-19,0,0
2021-01-20,-47,-45
2021-01-21,-56,-63
2021-01-22,-51,-52
2021-01-23,-4,-2
2021-01-24,0,0
2021-01-25,6,6
2021-01-26,6,6
2021-01-27,6,6
2021-01-28,34,50
2021-01-29,32,63
2021-01-30,27,128
2021-01-31,0,2
2021-02-01,30,46
2021-02-02,60,66
2021-02-03,29,57
2021-02-04,0,0
2021-02-05,0,0
2021-02-06,0,0
2021-02-07,0,0
2021-02-08,0,0
2021-02-09,0,0
2021-02-10,0,0
2021-02-11,1,2
2021-02-12,0,0
2021-02-13,0,0
2021-02-14,0,0
2021-02-15,0,0
2021-02-16,15,40
2021-02-17,25,97
2021-02-18,90,150
2021-02-19,59,82
2021-02-20,0,0
2021-02-21,0,0
2021-02-22,0,0
2021-02-23,0,0
2021-02-24,3,0
2021-02-25,0,0
2021-02-26,0,0
2021-02-27,0,0
2021-02-28,0,0
2021-03-01,0,0
2021-03-02,0,0
2021-03-03,0,0
2021-03-04,0,0
2021-03-05,0,0
2021-03-06,0,0
2021-03-07,0,0
2021-03-08,0,0
2021-03-09,0,0
2021-03-10,30,35
2021-03-11,43,77
2021-03-12,122,194
2021-03-13,309,334
2021-03-14,183,272
2021-03-15,178,170
2021-03-16,103,93
2021-03-17,109,119
2021-03-18,122,139
2021-03-19,57,77
2021-03-20,78,243
2021-03-21,26,148
2021-03-22,91,124
2021-03-23,105,82
2021-03-24,0,0
2021-03-25,261,227
2021-03-26,463,316
2021-03-27,349,283
2021-03-28,441,407
2021-03-29,253,169
2021-03-30,646,390
2021-03-31,629,370
2021-04-01,73,18
