Černovice,,Černovická,Zvonařka
time,cyklisté,chodci
2020-05-29,181,105
2020-05-30,875,251
2020-05-31,7,2
2020-06-01,0,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,0,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,0,0
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,804,379
2020-06-13,1269,183
2020-06-14,666,286
2020-06-15,847,339
2020-06-16,1096,300
2020-06-17,2,2
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,52,133
2020-06-21,1,0
2020-06-22,797,241
2020-06-23,1455,320
2020-06-24,807,380
2020-06-25,1191,271
2020-06-26,497,183
2020-06-27,1336,222
2020-06-28,849,123
2020-06-29,106,28
2020-06-30,1008,218
2020-07-01,1535,259
2020-07-02,817,230
2020-07-03,897,196
2020-07-04,1209,178
2020-07-05,1006,198
2020-07-06,1109,205
2020-07-07,0,1
2020-07-08,768,156
2020-07-09,1003,238
2020-07-10,679,133
2020-07-11,58,53
2020-07-12,1063,257
2020-07-13,1154,324
2020-07-14,1062,226
2020-07-15,1313,302
2020-07-16,711,209
2020-07-17,357,133
2020-07-18,1,3
2020-07-19,745,289
2020-07-20,1008,307
2020-07-21,624,245
2020-07-22,1073,214
2020-07-23,1373,259
2020-07-24,1002,190
2020-07-25,1060,211
2020-07-26,1085,315
2020-07-27,1309,281
2020-07-28,1324,175
2020-07-29,712,136
2020-07-30,1160,201
2020-07-31,1171,195
2020-08-01,816,115
2020-08-02,759,162
2020-08-03,99,116
2020-08-04,29,14
2020-08-05,490,153
2020-08-06,1341,284
2020-08-07,1109,193
2020-08-08,970,274
2020-08-09,888,241
2020-08-10,1081,252
2020-08-11,974,247
2020-08-12,1033,216
2020-08-13,1194,234
2020-08-14,837,97
2020-08-15,513,225
2020-08-16,1219,257
2020-08-17,945,263
2020-08-18,158,47
2020-08-19,1181,263
2020-08-20,774,142
2020-08-21,1044,170
2020-08-22,1322,1163
2020-08-23,1214,281
2020-08-24,1144,304
2020-08-25,1259,286
2020-08-26,1167,218
2020-08-27,1076,249
2020-08-28,954,169
2020-08-29,701,311
2020-08-30,743,210
2020-08-31,228,45
