Ikea,,Ikea,Olympia
time,cyklisté,chodci
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,0,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,0,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,626,560
2020-06-09,2240,1083
2020-06-10,432,228
2020-06-11,2261,1070
2020-06-12,2383,948
2020-06-13,3013,978
2020-06-14,5,14
2020-06-15,2121,1029
2020-06-16,3092,1424
2020-06-17,2076,983
2020-06-18,411,212
2020-06-19,448,182
2020-06-20,241,120
2020-06-21,914,499
2020-06-22,2125,1061
2020-06-23,2634,1345
2020-06-24,1110,479
2020-06-25,2263,1042
2020-06-26,995,471
2020-06-27,2945,1045
2020-06-28,2894,1000
2020-06-29,373,300
2020-06-30,2994,1285
2020-07-01,2598,986
2020-07-02,2005,445
2020-07-03,1761,559
2020-07-04,2656,913
2020-07-05,2492,705
2020-07-06,2654,1283
2020-07-07,237,17
