Kounicova A,,z centra,do centra
time,cyklisté,chodci
2020-05-29,140,0
2020-05-30,188,0
2020-05-31,86,0
2020-06-01,456,0
2020-06-02,482,0
2020-06-03,494,0
2020-06-04,552,0
2020-06-05,156,0
2020-06-06,188,0
2020-06-07,196,0
2020-06-08,387,0
2020-06-09,523,0
2020-06-10,226,0
2020-06-11,459,0
2020-06-12,471,0
2020-06-13,194,0
2020-06-14,147,0
2020-06-15,505,0
2020-06-16,558,0
2020-06-17,530,0
2020-06-18,263,0
2020-06-19,178,0
2020-06-20,66,0
2020-06-21,92,0
2020-06-22,418,0
2020-06-23,546,0
2020-06-24,368,0
2020-06-25,458,0
2020-06-26,241,0
2020-06-27,6,0
2020-06-28,0,0
2020-06-29,152,0
2020-06-30,500,0
2020-07-01,521,0
2020-07-02,419,0
2020-07-03,267,0
2020-07-04,158,0
2020-07-05,193,0
2020-07-06,229,0
2020-07-07,438,0
2020-07-08,467,0
2020-07-09,385,0
2020-07-10,339,0
2020-07-11,57,0
2020-07-12,217,0
2020-07-13,448,0
2020-07-14,472,0
2020-07-15,529,0
2020-07-16,384,0
2020-07-17,325,0
2020-07-18,70,0
2020-07-19,167,0
2020-07-20,414,0
2020-07-21,347,0
2020-07-22,426,0
2020-07-23,465,0
2020-07-24,409,0
2020-07-25,174,0
2020-07-26,190,0
2020-07-27,467,0
2020-07-28,401,0
2020-07-29,381,0
2020-07-30,350,0
2020-07-31,345,0
2020-08-01,161,0
2020-08-02,88,0
2020-08-03,62,0
2020-08-04,83,0
2020-08-05,276,0
2020-08-06,436,0
2020-08-07,332,0
2020-08-08,193,0
2020-08-09,175,0
2020-08-10,428,0
2020-08-11,475,0
2020-08-12,154,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,319,0
2020-08-25,456,0
2020-08-26,452,0
2020-08-27,490,0
2020-08-28,388,0
2020-08-29,167,0
2020-08-30,140,0
2020-08-31,86,0
