Kounicova B,,do centra,z centra
time,cyklisté,chodci
2020-05-29,83,0
2020-05-30,143,0
2020-05-31,69,0
2020-06-01,420,0
2020-06-02,349,0
2020-06-03,463,0
2020-06-04,491,0
2020-06-05,154,0
2020-06-06,167,0
2020-06-07,120,0
2020-06-08,313,0
2020-06-09,386,0
2020-06-10,206,0
2020-06-11,379,0
2020-06-12,375,0
2020-06-13,183,0
2020-06-14,124,0
2020-06-15,418,0
2020-06-16,467,0
2020-06-17,428,0
2020-06-18,181,0
2020-06-19,142,0
2020-06-20,57,0
2020-06-21,85,0
2020-06-22,385,0
2020-06-23,470,0
2020-06-24,329,0
2020-06-25,412,0
2020-06-26,231,0
2020-06-27,138,0
2020-06-28,123,0
2020-06-29,31,0
2020-06-30,318,0
2020-07-01,350,0
2020-07-02,254,0
2020-07-03,173,0
2020-07-04,97,0
2020-07-05,93,0
2020-07-06,115,0
2020-07-07,297,0
2020-07-08,306,0
2020-07-09,325,0
2020-07-10,293,0
2020-07-11,39,0
2020-07-12,147,0
2020-07-13,317,0
2020-07-14,16,0
