Královopolská,,Přívrat,Záhřebská
time,cyklisté,chodci
2020-05-29,144,130
2020-05-30,337,233
2020-05-31,94,136
2020-06-01,687,332
2020-06-02,810,350
2020-06-03,787,364
2020-06-04,863,440
2020-06-05,221,232
2020-06-06,645,390
2020-06-07,452,316
2020-06-08,486,446
2020-06-09,773,469
2020-06-10,277,274
2020-06-11,765,394
2020-06-12,746,386
2020-06-13,621,288
2020-06-14,369,270
2020-06-15,743,1032
2020-06-16,868,450
2020-06-17,800,482
2020-06-18,326,337
2020-06-19,210,258
2020-06-20,140,300
2020-06-21,244,304
2020-06-22,629,387
2020-06-23,678,243
2020-06-24,517,296
2020-06-25,635,340
2020-06-26,270,274
2020-06-27,516,200
2020-06-28,620,219
2020-06-29,191,301
2020-06-30,846,415
2020-07-01,574,207
2020-07-02,470,282
2020-07-03,386,241
2020-07-04,352,188
2020-07-05,327,209
2020-07-06,388,205
2020-07-07,364,275
2020-07-08,497,222
2020-07-09,456,259
2020-07-10,392,189
2020-07-11,44,147
2020-07-12,411,158
2020-07-13,487,295
2020-07-14,483,190
2020-07-15,663,237
2020-07-16,387,331
2020-07-17,436,375
2020-07-18,119,214
2020-07-19,481,346
2020-07-20,595,378
2020-07-21,542,275
2020-07-22,815,297
2020-07-23,677,230
2020-07-24,521,299
2020-07-25,381,219
2020-07-26,485,216
2020-07-27,177,57
