Lidická B,,z centra,do centra
time,cyklisté,chodci
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,558,0
2020-06-02,642,0
2020-06-03,645,0
2020-06-04,718,0
2020-06-05,239,0
2020-06-06,441,0
2020-06-07,232,0
2020-06-08,501,0
2020-06-09,648,0
2020-06-10,262,0
2020-06-11,656,0
2020-06-12,624,0
2020-06-13,378,0
2020-06-14,267,0
2020-06-15,565,0
2020-06-16,770,0
2020-06-17,647,0
2020-06-18,339,0
2020-06-19,227,0
2020-06-20,112,0
2020-06-21,184,0
2020-06-22,629,0
2020-06-23,707,0
2020-06-24,448,0
2020-06-25,586,0
2020-06-26,339,0
2020-06-27,392,0
2020-06-28,316,0
2020-06-29,81,0
