Nové sady 1+2,,z centra,do centra
time,cyklisté,chodci
2020-05-29,92,0
2020-05-30,133,0
2020-05-31,33,0
2020-06-01,294,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,117,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,54,0
2020-06-09,146,0
2020-06-10,0,0
2020-06-11,375,0
2020-06-12,176,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,80,0
2020-06-16,2,0
2020-06-17,4,0
2020-06-18,1,0
2020-06-19,4,0
2020-06-20,1,0
2020-06-21,6,0
2020-06-22,4,0
2020-06-23,2,0
2020-06-24,6,0
2020-06-25,805,0
2020-06-26,458,0
2020-06-27,206,0
2020-06-28,130,0
2020-06-29,44,0
2020-06-30,86,0
2020-07-01,148,0
2020-07-02,369,0
2020-07-03,201,0
2020-07-04,167,0
2020-07-05,122,0
2020-07-06,159,0
2020-07-07,577,0
2020-07-08,639,0
2020-07-09,596,0
2020-07-10,578,0
2020-07-11,47,0
2020-07-12,427,0
2020-07-13,653,0
2020-07-14,739,0
2020-07-15,634,0
2020-07-16,440,0
2020-07-17,409,0
2020-07-18,80,0
2020-07-19,288,0
2020-07-20,602,0
2020-07-21,442,0
2020-07-22,721,0
2020-07-23,650,0
2020-07-24,481,0
2020-07-25,307,0
2020-07-26,301,0
2020-07-27,592,0
2020-07-28,545,0
2020-07-29,526,0
2020-07-30,385,0
2020-07-31,516,0
2020-08-01,228,0
2020-08-02,115,0
2020-08-03,44,0
2020-08-04,59,0
2020-08-05,319,0
2020-08-06,491,0
2020-08-07,505,0
2020-08-08,297,0
2020-08-09,270,0
2020-08-10,410,0
2020-08-11,483,0
2020-08-12,482,0
2020-08-13,502,0
2020-08-14,359,0
2020-08-15,92,0
2020-08-16,361,0
2020-08-17,330,0
2020-08-18,154,0
2020-08-19,399,0
2020-08-20,290,0
2020-08-21,383,0
2020-08-22,234,0
2020-08-23,252,0
2020-08-24,378,0
2020-08-25,367,0
2020-08-26,385,0
2020-08-27,414,0
2020-08-28,324,0
2020-08-29,156,0
2020-08-30,139,0
2020-08-31,75,0
