Nové sady A,,do centra,z centra
time,cyklisté,chodci
2020-05-29,92,0
2020-05-30,109,0
2020-05-31,8,0
2020-06-01,158,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,54,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,17,0
2020-06-09,80,0
2020-06-10,0,0
2020-06-11,375,0
2020-06-12,176,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,80,0
2020-06-16,2,0
2020-06-17,4,0
2020-06-18,1,0
2020-06-19,4,0
2020-06-20,1,0
2020-06-21,6,0
2020-06-22,4,0
2020-06-23,2,0
2020-06-24,6,0
2020-06-25,380,0
2020-06-26,220,0
2020-06-27,76,0
2020-06-28,9,0
2020-06-29,0,0
2020-06-30,34,0
2020-07-01,113,0
2020-07-02,128,0
2020-07-03,87,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,294,0
2020-07-08,399,0
2020-07-09,321,0
2020-07-10,371,0
2020-07-11,37,0
2020-07-12,305,0
2020-07-13,446,0
2020-07-14,461,0
2020-07-15,449,0
2020-07-16,316,0
2020-07-17,283,0
2020-07-18,47,0
2020-07-19,181,0
2020-07-20,365,0
2020-07-21,254,0
2020-07-22,445,0
2020-07-23,417,0
2020-07-24,319,0
2020-07-25,175,0
2020-07-26,166,0
2020-07-27,343,0
2020-07-28,358,0
2020-07-29,301,0
2020-07-30,237,0
2020-07-31,299,0
2020-08-01,154,0
2020-08-02,70,0
2020-08-03,26,0
2020-08-04,59,0
2020-08-05,319,0
2020-08-06,405,0
2020-08-07,328,0
2020-08-08,209,0
2020-08-09,185,0
2020-08-10,410,0
2020-08-11,377,0
2020-08-12,385,0
2020-08-13,387,0
2020-08-14,265,0
2020-08-15,86,0
2020-08-16,251,0
2020-08-17,326,0
2020-08-18,154,0
2020-08-19,399,0
2020-08-20,172,0
2020-08-21,274,0
2020-08-22,165,0
2020-08-23,192,0
2020-08-24,345,0
2020-08-25,367,0
2020-08-26,385,0
2020-08-27,414,0
2020-08-28,324,0
2020-08-29,156,0
2020-08-30,139,0
2020-08-31,75,0
