Nové sady B,,z centra,do centra
time,cyklisté,chodci
2020-05-29,0,0
2020-05-30,24,0
2020-05-31,25,0
2020-06-01,136,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,63,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,37,0
2020-06-09,66,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,0,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,0,0
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,425,0
2020-06-26,238,0
2020-06-27,130,0
2020-06-28,121,0
2020-06-29,44,0
2020-06-30,52,0
2020-07-01,35,0
2020-07-02,241,0
2020-07-03,114,0
2020-07-04,167,0
2020-07-05,122,0
2020-07-06,159,0
2020-07-07,283,0
2020-07-08,240,0
2020-07-09,275,0
2020-07-10,207,0
2020-07-11,10,0
2020-07-12,122,0
2020-07-13,207,0
2020-07-14,278,0
2020-07-15,185,0
2020-07-16,124,0
2020-07-17,126,0
2020-07-18,33,0
2020-07-19,107,0
2020-07-20,237,0
2020-07-21,188,0
2020-07-22,276,0
2020-07-23,233,0
2020-07-24,162,0
2020-07-25,132,0
2020-07-26,135,0
2020-07-27,249,0
2020-07-28,187,0
2020-07-29,225,0
2020-07-30,148,0
2020-07-31,217,0
2020-08-01,74,0
2020-08-02,45,0
2020-08-03,18,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,86,0
2020-08-07,177,0
2020-08-08,88,0
2020-08-09,85,0
2020-08-10,0,0
2020-08-11,106,0
2020-08-12,97,0
2020-08-13,115,0
2020-08-14,94,0
2020-08-15,6,0
2020-08-16,110,0
2020-08-17,4,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,118,0
2020-08-21,109,0
2020-08-22,69,0
2020-08-23,60,0
2020-08-24,33,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,0
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,0
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,0,0
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,0
2020-09-10,0,0
2020-09-11,0,0
2020-09-12,0,0
2020-09-13,0,0
2020-09-14,0,0
2020-09-15,0,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,156,0
2020-10-21,232,0
2020-10-22,250,0
2020-10-23,204,0
2020-10-24,144,0
2020-10-25,153,0
2020-10-26,174,0
2020-10-27,109,0
2020-10-28,203,0
2020-10-29,115,0
2020-10-30,58,0
2020-10-31,128,0
2020-11-01,60,0
2020-11-02,146,0
2020-11-03,219,0
2020-11-04,122,0
2020-11-05,206,0
2020-11-06,204,0
2020-11-07,170,0
2020-11-08,112,0
2020-11-09,163,0
2020-11-10,125,0
2020-11-11,159,0
2020-11-12,134,0
2020-11-13,159,0
2020-11-14,85,0
2020-11-15,40,0
2020-11-16,97,0
2020-11-17,153,0
2020-11-18,212,0
2020-11-19,144,0
2020-11-20,155,0
2020-11-21,104,0
2020-11-22,73,0
2020-11-23,134,0
2020-11-24,107,0
2020-11-25,118,0
2020-11-26,114,0
2020-11-27,116,0
2020-11-28,84,0
2020-11-29,82,0
2020-11-30,113,0
2020-12-01,116,0
2020-12-02,120,0
2020-12-03,52,0
2020-12-04,69,0
2020-12-05,87,0
2020-12-06,64,0
2020-12-07,98,0
2020-12-08,101,0
2020-12-09,119,0
2020-12-10,83,0
2020-12-11,73,0
2020-12-12,44,0
2020-12-13,66,0
2020-12-14,97,0
2020-12-15,91,0
2020-12-16,62,0
2020-12-17,9,0
2020-12-18,167,0
2020-12-19,32,0
2020-12-20,39,0
2020-12-21,85,0
2020-12-22,57,0
2020-12-23,60,0
2020-12-24,9,0
2020-12-25,57,0
2020-12-26,28,0
2020-12-27,42,0
2020-12-28,55,0
2020-12-29,92,0
2020-12-30,68,0
2020-12-31,85,0
