Obřany,,Bílovice n. Svitavou,Obřany
time,cyklisté,chodci
2020-05-29,241,54
2020-05-30,953,226
2020-05-31,142,69
2020-06-01,1276,229
2020-06-02,1159,248
2020-06-03,1406,343
2020-06-04,1329,240
2020-06-05,172,212
2020-06-06,2009,324
2020-06-07,1222,305
2020-06-08,467,124
2020-06-09,1192,141
2020-06-10,146,57
2020-06-11,1171,169
2020-06-12,1053,160
2020-06-13,1568,195
2020-06-14,994,219
2020-06-15,1084,215
2020-06-16,1149,210
2020-06-17,1115,153
2020-06-18,236,86
2020-06-19,247,58
2020-06-20,156,152
2020-06-21,472,212
2020-06-22,1057,191
2020-06-23,1566,209
2020-06-24,570,86
2020-06-25,1171,126
2020-06-26,472,79
2020-06-27,1644,186
2020-06-28,78,17
2020-06-29,236,109
2020-06-30,1312,215
2020-07-01,26,5
2020-07-02,0,0
2020-07-03,742,129
2020-07-04,1304,316
2020-07-05,1234,162
2020-07-06,1405,202
2020-07-07,861,167
2020-07-08,653,111
2020-07-09,990,148
2020-07-10,940,134
2020-07-11,130,60
2020-07-12,2079,254
2020-07-13,1090,187
2020-07-14,1301,166
2020-07-15,1102,855
2020-07-16,27,1
2020-07-17,522,93
2020-07-18,170,98
2020-07-19,1406,184
2020-07-20,773,119
2020-07-21,844,108
2020-07-22,1314,186
2020-07-23,1204,156
2020-07-24,324,37
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,1007,163
2020-07-28,343,38
2020-07-29,543,74
2020-07-30,1082,159
2020-07-31,936,106
2020-08-01,1067,136
2020-08-02,991,108
2020-08-03,39,32
2020-08-04,66,45
2020-08-05,879,186
2020-08-06,1261,164
2020-08-07,841,108
2020-08-08,1188,138
2020-08-09,1180,152
2020-08-10,847,172
2020-08-11,1014,126
2020-08-12,1088,148
2020-08-13,1048,149
2020-08-14,693,72
2020-08-15,575,160
2020-08-16,1635,191
2020-08-17,950,170
2020-08-18,334,123
2020-08-19,1107,854
2020-08-20,669,105
2020-08-21,890,82
2020-08-22,1094,144
2020-08-23,1619,172
2020-08-24,1055,184
2020-08-25,1119,182
2020-08-26,956,136
2020-08-27,946,135
2020-08-28,1037,150
2020-08-29,805,170
2020-08-30,1021,160
2020-08-31,95,7
