Pisárky,,Štýřice,Nový Lískovec
time,cyklisté,chodci
2020-05-29,143,46
2020-05-30,850,323
2020-05-31,98,215
2020-06-01,850,353
2020-06-02,936,370
2020-06-03,955,265
2020-06-04,992,590
2020-06-05,240,253
2020-06-06,1074,407
2020-06-07,765,411
2020-06-08,206,162
2020-06-09,0,0
2020-06-10,11,18
2020-06-11,627,253
2020-06-12,230,110
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,214,169
2020-06-16,23,26
2020-06-17,20,35
2020-06-18,15,22
2020-06-19,5,68
2020-06-20,4,35
2020-06-21,5,21
2020-06-22,9,18
2020-06-23,14,21
2020-06-24,15,24
2020-06-25,69,465
2020-06-26,114,141
2020-06-27,0,2
2020-06-28,0,0
2020-06-29,17,31
2020-06-30,596,272
2020-07-01,111,27
2020-07-02,171,588
2020-07-03,53,80
2020-07-04,674,306
2020-07-05,455,213
2020-07-06,113,25
2020-07-07,785,469
2020-07-08,5908,49375
2020-07-09,851,495
2020-07-10,963,302
2020-07-11,73,171
2020-07-12,1439,417
2020-07-13,1056,404
2020-07-14,1460,395
2020-07-15,1196,438
2020-07-16,647,365
2020-07-17,744,352
2020-07-18,120,296
2020-07-19,1174,623
2020-07-20,1069,339
2020-07-21,752,327
2020-07-22,1299,399
2020-07-23,1239,348
2020-07-24,808,338
2020-07-25,834,367
2020-07-26,1127,419
2020-07-27,245,118
