Renneská 1,,Heršpická,Novosadský most
time,cyklisté,chodci
2020-05-29,324,356
2020-05-30,1108,428
2020-05-31,229,336
2020-06-01,1434,1645
2020-06-02,1318,1777
2020-06-03,1374,1803
2020-06-04,1333,1850
2020-06-05,287,835
2020-06-06,1461,556
2020-06-07,742,480
2020-06-08,752,1771
2020-06-09,1193,2070
2020-06-10,408,1348
2020-06-11,1088,1931
2020-06-12,1206,1498
2020-06-13,1055,333
2020-06-14,647,398
2020-06-15,1149,1954
2020-06-16,1302,2020
2020-06-17,1116,2045
2020-06-18,556,1158
2020-06-19,360,812
2020-06-20,186,200
2020-06-21,415,371
2020-06-22,1333,1846
2020-06-23,1687,1780
2020-06-24,987,1704
2020-06-25,1304,1810
2020-06-26,555,1173
2020-06-27,1154,454
2020-06-28,1151,319
2020-06-29,539,924
2020-06-30,1539,1770
2020-07-01,1595,2024
2020-07-02,868,1479
2020-07-03,959,1415
2020-07-04,1289,424
2020-07-05,1168,428
2020-07-06,1227,562
2020-07-07,1255,2133
2020-07-08,1383,2274
2020-07-09,1245,2151
2020-07-10,1201,1633
2020-07-11,143,171
2020-07-12,1529,430
2020-07-13,1711,2203
2020-07-14,2250,2279
2020-07-15,2226,2650
2020-07-16,1237,2057
2020-07-17,1280,1384
2020-07-18,284,194
2020-07-19,1547,473
2020-07-20,1428,1732
2020-07-21,1517,1592
2020-07-22,731,1105
2020-07-23,1229,1236
2020-07-24,1047,1322
2020-07-25,417,237
2020-07-26,866,374
2020-07-27,1601,1755
2020-07-28,840,1047
2020-07-29,1398,1707
2020-07-30,1246,1135
2020-07-31,500,682
2020-08-01,1060,415
2020-08-02,1033,391
2020-08-03,338,410
2020-08-04,456,909
2020-08-05,1431,1683
2020-08-06,1822,1687
2020-08-07,462,611
2020-08-08,220,149
2020-08-09,283,102
2020-08-10,436,636
2020-08-11,559,974
2020-08-12,1164,1516
2020-08-13,484,751
2020-08-14,433,863
2020-08-15,795,503
2020-08-16,379,141
2020-08-17,1394,2148
2020-08-18,764,1260
2020-08-19,1660,2259
2020-08-20,54,88
2020-08-21,1240,1194
2020-08-22,277,176
2020-08-23,1238,429
2020-08-24,1477,1980
2020-08-25,1662,1969
2020-08-26,1391,2039
2020-08-27,1422,2089
2020-08-28,1278,1574
2020-08-29,873,344
2020-08-30,815,611
2020-08-31,1064,2193
2020-09-01,352,682
2020-09-02,1264,1896
2020-09-03,1426,1771
2020-09-04,1217,1395
2020-09-05,1526,376
2020-09-06,472,201
2020-09-07,1079,1235
2020-09-08,1436,1629
2020-09-09,1501,1694
2020-09-10,1312,1544
2020-09-11,1248,1208
2020-09-12,1242,434
2020-09-13,1309,425
2020-09-14,1274,1513
2020-09-15,250,334
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,1120,352
2020-09-20,1197,391
2020-09-21,1188,1412
2020-09-22,1350,1528
2020-09-23,91,150
2020-09-25,78,170
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,286,874
2020-09-30,882,1653
2020-10-01,351,633
2020-10-02,714,987
2020-10-03,858,353
2020-10-04,961,413
2020-10-05,658,1312
2020-10-06,1161,1705
2020-10-07,910,1529
2020-10-08,1083,1271
2020-10-09,1058,1079
2020-10-10,839,321
2020-10-11,476,347
2020-10-12,290,797
2020-10-13,140,427
2020-10-14,120,786
2020-10-15,674,800
2020-10-16,252,473
2020-10-17,319,384
2020-10-18,669,287
2020-10-19,714,925
2020-10-20,704,1064
2020-10-21,717,1155
2020-10-22,962,1037
2020-10-23,580,826
2020-10-24,600,315
2020-10-25,739,274
2020-10-26,542,992
2020-10-27,331,727
2020-10-28,949,500
2020-10-29,263,471
2020-10-30,152,428
2020-10-31,539,392
2020-11-01,203,243
2020-11-02,377,808
2020-11-03,659,850
2020-11-04,318,835
2020-11-05,695,804
2020-11-06,587,820
2020-11-07,899,437
2020-11-08,457,441
2020-11-09,350,854
2020-11-10,354,898
2020-11-11,332,909
2020-11-12,338,807
2020-11-13,346,868
2020-11-14,342,421
2020-11-15,226,406
2020-11-16,228,923
2020-11-17,802,623
2020-11-18,652,1207
2020-11-19,308,976
2020-11-20,398,831
2020-11-21,384,493
2020-11-22,299,566
2020-11-23,238,995
2020-11-24,237,1013
2020-11-25,199,1046
2020-11-26,230,1046
2020-11-27,200,912
2020-11-28,262,363
2020-11-29,303,399
2020-11-30,262,1075
2020-12-01,212,1287
2020-12-02,288,1331
2020-12-03,108,1147
2020-12-04,137,937
2020-12-05,259,474
2020-12-06,261,536
2020-12-07,231,1220
2020-12-08,219,1402
2020-12-09,325,1443
2020-12-10,194,1283
2020-12-11,167,936
2020-12-12,117,472
2020-12-13,198,530
2020-12-14,270,1212
2020-12-15,192,1297
2020-12-16,123,886
2020-12-17,23,66
2020-12-18,372,1763
2020-12-19,81,934
2020-12-20,102,1692
2020-12-21,213,2486
2020-12-22,126,786
2020-12-23,190,919
2020-12-24,35,367
2020-12-25,195,317
2020-12-26,163,352
2020-12-27,160,379
2020-12-28,112,549
2020-12-29,358,778
2020-12-30,186,619
2020-12-31,265,639
2021-01-01,95,546
2021-01-02,312,451
2021-01-03,191,637
2021-01-04,204,1315
2021-01-05,256,1269
2021-01-06,111,1075
2021-01-07,184,1151
2021-01-08,-80,-857
2021-01-09,210,466
2021-01-10,54,-235
2021-01-11,188,944
2021-01-12,-6,858
2021-01-13,-233,-1000
2021-01-14,-157,-453
2021-01-15,-206,-944
2021-01-16,-156,-1105
