Renneska 2,,Renneska,Heršpická
time,cyklisté,chodci
2020-05-29,162,51
2020-05-30,481,97
2020-05-31,53,27
2020-06-01,510,89
2020-06-02,617,133
2020-06-03,306,27
2020-06-04,341,116
2020-06-05,95,33
2020-06-06,548,82
2020-06-07,4,14
2020-06-08,300,137
2020-06-09,775,351
2020-06-10,243,250
2020-06-11,831,445
2020-06-12,721,342
2020-06-13,519,158
2020-06-14,0,0
2020-06-15,647,341
2020-06-16,1066,504
2020-06-17,965,471
2020-06-18,284,272
2020-06-19,248,276
2020-06-20,86,126
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,1088,589
2020-06-24,650,442
2020-06-25,979,549
2020-06-26,367,319
2020-06-27,1779,306
2020-06-28,230,92
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,779,274
2020-07-02,684,413
2020-07-03,576,344
2020-07-04,591,231
2020-07-05,156,50
2020-07-06,0,0
2020-07-07,626,351
2020-07-08,852,399
2020-07-09,739,393
2020-07-10,257,171
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,374,224
2020-07-18,74,135
2020-07-19,642,246
2020-07-20,825,468
2020-07-21,752,438
2020-07-22,1069,447
2020-07-23,986,481
2020-07-24,648,370
2020-07-25,501,243
2020-07-26,657,216
2020-07-27,917,514
2020-07-28,833,343
2020-07-29,966,402
2020-07-30,315,176
2020-07-31,719,305
2020-08-01,152,72
2020-08-02,656,258
2020-08-03,174,211
2020-08-04,173,243
2020-08-05,697,526
2020-08-06,966,456
2020-08-07,753,327
2020-08-08,485,173
2020-08-09,518,213
2020-08-10,868,515
2020-08-11,838,460
2020-08-12,734,314
2020-08-13,810,417
2020-08-14,577,282
2020-08-15,200,191
2020-08-16,670,248
2020-08-17,711,469
2020-08-18,397,280
2020-08-19,818,411
2020-08-20,419,224
2020-08-21,608,268
2020-08-22,328,147
2020-08-23,669,249
2020-08-24,824,481
2020-08-25,925,453
2020-08-26,803,554
2020-08-27,777,422
2020-08-28,696,339
2020-08-29,356,156
2020-08-30,449,156
2020-08-31,625,449
2020-09-01,162,226
2020-09-02,812,499
2020-09-03,818,444
2020-09-04,722,464
2020-09-05,699,241
2020-09-06,260,270
2020-09-07,563,501
2020-09-08,844,524
2020-09-09,812,507
2020-09-10,775,475
2020-09-11,631,388
2020-09-12,568,241
2020-09-13,654,262
2020-09-14,727,455
2020-09-15,162,84
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,509,188
2020-09-20,568,268
2020-09-21,668,472
2020-09-22,800,510
2020-09-23,51,51
2020-09-25,60,30
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,147,269
2020-09-30,435,483
2020-10-01,288,359
2020-10-02,464,429
2020-10-03,405,211
2020-10-04,434,259
2020-10-05,320,412
2020-10-06,678,436
2020-10-07,446,498
2020-10-08,555,441
2020-10-09,595,512
2020-10-10,533,252
2020-10-11,256,258
2020-10-12,131,316
2020-10-13,60,169
2020-10-14,51,139
2020-10-15,347,412
2020-10-16,145,203
2020-10-17,167,302
2020-10-18,379,377
2020-10-19,399,513
2020-10-20,399,447
2020-10-21,388,382
2020-10-22,578,412
2020-10-23,343,346
2020-10-24,319,304
2020-10-25,307,300
2020-10-26,951,437
2020-10-27,185,263
2020-10-28,489,313
2020-10-29,129,213
2020-10-30,58,176
2020-10-31,390,292
2020-11-01,101,230
2020-11-02,205,362
2020-11-03,495,412
2020-11-04,171,307
2020-11-05,396,328
2020-11-06,274,332
2020-11-07,393,210
2020-11-08,234,295
2020-11-09,196,358
2020-11-10,152,290
2020-11-11,183,252
2020-11-12,179,302
2020-11-13,227,329
2020-11-14,212,256
2020-11-15,101,312
2020-11-16,91,278
